opportunity_id,customer_id,sales_rep_id,product_id,opportunity_created_date,close_date,stage,expected_revenue,actual_revenue,sales_cycle_days,won
38,13557,216,7,2024-03-28,2024-06-05,Closed Won,25920.0,25920.0,69,True
39,13891,268,8,2026-02-21,2026-06-11,Closed Won,48600.0,48600.0,110,True
40,18839,254,9,2025-04-05,2025-07-08,Closed Won,140760.0,140760.0,94,True
41,15394,228,9,2023-03-29,2023-07-10,Negotiation,16200.0,0.0,103,False
42,18793,260,9,2023-01-24,2023-05-05,Discovery,110400.0,0.0,101,False
43,18434,278,9,2025-06-13,2025-10-16,Discovery,592800.0,0.0,125,False
44,17514,276,8,2022-11-23,2023-04-06,Discovery,61200.0,0.0,134,False
45,12612,260,9,2024-05-22,2024-09-06,Proposal,220800.0,0.0,107,False
46,17042,285,7,2026-12-19,2027-05-11,Closed Lost,9660.0,0.0,143,False
47,19556,280,9,2026-02-15,2026-05-30,Negotiation,93840.0,0.0,104,False
48,16236,244,9,2025-05-29,2025-09-24,Qualification,424320.0,0.0,118,False
49,15487,202,8,2022-12-29,2023-04-02,Qualification,18360.0,0.0,94,False
50,17100,223,7,2024-09-01,2024-11-03,Closed Lost,2754.0,0.0,63,False
51,19671,293,7,2022-10-14,2022-11-30,Discovery,6480.0,0.0,47,False
52,10775,246,8,2026-10-22,2027-02-22,Negotiation,20520.0,0.0,123,False
53,18227,273,8,2022-10-01,2023-01-11,Qualification,82080.0,0.0,102,False
54,13153,254,7,2022-01-08,2022-04-07,Closed Won,9384.0,9384.0,89,True
55,11586,271,7,2026-08-06,2026-11-03,Qualification,50784.0,0.0,89,False
56,13944,293,9,2023-06-03,2023-08-16,Negotiation,145800.0,0.0,74,False
57,17556,281,8,2022-06-12,2022-09-29,Discovery,8262.0,0.0,109,False
58,13074,209,7,2023-05-13,2023-08-02,Negotiation,9522.0,0.0,81,False
59,11022,270,7,2022-02-05,2022-05-08,Discovery,12960.0,0.0,92,False
60,13844,244,8,2026-10-31,2027-02-15,Closed Won,15912.0,15912.0,107,True
61,17990,284,8,2025-01-05,2025-03-18,Qualification,16560.0,0.0,72,False
62,19693,274,7,2025-04-07,2025-08-03,Discovery,31920.0,0.0,118,False
63,16874,273,8,2025-06-10,2025-09-10,Qualification,136800.0,0.0,92,False
64,15676,212,7,2026-03-27,2026-07-13,Proposal,6783.0,0.0,108,False
65,10162,297,7,2025-11-04,2026-01-22,Closed Lost,29484.0,0.0,79,False
66,14298,232,9,2022-04-24,2022-07-28,Closed Lost,276000.0,0.0,95,False
67,10996,234,9,2024-05-04,2024-08-31,Proposal,414960.0,0.0,119,False
68,17630,283,8,2022-09-10,2022-11-20,Closed Won,174960.0,174960.0,71,True
69,19468,233,8,2025-04-17,2025-07-17,Closed Won,21114.0,21114.0,91,True
70,11017,264,7,2022-05-31,2022-08-14,Closed Won,24480.0,24480.0,75,True
71,17870,248,9,2022-06-23,2022-09-24,Qualification,34200.0,0.0,93,False
72,16440,216,8,2024-02-07,2024-05-13,Proposal,34020.0,0.0,96,False
73,17893,250,7,2023-05-23,2023-08-10,Discovery,12636.0,0.0,79,False
74,16864,223,9,2025-02-10,2025-05-19,Closed Lost,275400.0,0.0,98,False
75,17917,226,7,2024-06-18,2024-09-21,Closed Won,17784.0,17784.0,95,True
76,18530,254,9,2022-02-11,2022-05-05,Discovery,70380.0,0.0,83,False
77,10879,244,7,2022-04-18,2022-08-12,Negotiation,15912.0,0.0,116,False
78,19269,237,9,2023-05-21,2023-09-11,Discovery,78660.0,0.0,113,False
79,14888,209,7,2024-11-23,2025-02-03,Discovery,7935.0,0.0,72,False
80,14860,294,7,2026-07-29,2026-10-13,Discovery,9720.0,0.0,76,False
81,16332,213,8,2025-08-09,2025-11-29,Qualification,12240.0,0.0,112,False
82,18572,260,9,2026-12-17,2027-03-19,Qualification,55200.0,0.0,92,False
83,18685,280,9,2026-02-15,2026-06-08,Qualification,187680.0,0.0,113,False
84,17209,202,8,2026-08-20,2026-11-08,Negotiation,122400.0,0.0,80,False
85,15277,295,8,2026-10-27,2027-02-07,Proposal,19440.0,0.0,103,False
86,12063,260,7,2024-07-20,2024-10-05,Closed Lost,12420.0,0.0,77,False
87,10065,257,9,2026-10-01,2026-12-28,Proposal,55890.0,0.0,88,False
88,18007,243,7,2026-01-03,2026-04-12,Negotiation,6480.0,0.0,99,False
89,12568,219,7,2022-08-12,2022-11-16,Discovery,13800.0,0.0,96,False
90,15464,211,7,2022-01-05,2022-04-08,Closed Won,21060.0,21060.0,93,True
91,12028,278,8,2024-04-04,2024-08-07,Negotiation,13338.0,0.0,125,False
92,12696,247,9,2024-11-04,2025-02-14,Closed Won,165600.0,165600.0,102,True
93,19688,289,8,2026-09-24,2027-01-07,Qualification,13680.0,0.0,105,False
94,15259,263,8,2023-09-22,2023-12-22,Closed Lost,41400.0,0.0,91,False
95,15619,207,9,2022-04-19,2022-07-10,Discovery,110400.0,0.0,82,False
96,16737,279,9,2026-03-05,2026-06-04,Proposal,11400.0,0.0,91,False
97,10392,294,8,2023-07-11,2023-10-23,Closed Lost,19440.0,0.0,104,False
98,15893,231,8,2023-07-20,2023-10-22,Negotiation,48600.0,0.0,94,False
99,13562,288,8,2026-11-02,2027-02-16,Closed Lost,89424.0,0.0,106,False
100,16185,255,9,2025-07-05,2025-10-22,Discovery,265200.0,0.0,109,False
101,13100,225,9,2024-08-09,2024-10-27,Proposal,55080.0,0.0,79,False
102,16279,272,7,2023-02-28,2023-05-16,Discovery,55200.0,0.0,77,False
103,18393,230,9,2022-08-16,2022-11-01,Closed Won,194400.0,194400.0,77,True
104,13105,236,8,2023-01-20,2023-05-05,Closed Won,21114.0,21114.0,105,True
105,17216,250,9,2024-11-05,2025-01-18,Closed Won,421200.0,421200.0,74,True
106,12455,214,9,2022-09-19,2023-01-01,Proposal,583200.0,0.0,104,False
107,18997,229,9,2024-04-19,2024-07-22,Closed Lost,244800.0,0.0,94,False
108,12732,227,8,2025-05-16,2025-08-15,Qualification,11628.0,0.0,91,False
109,18155,250,7,2022-12-26,2023-03-16,Proposal,16848.0,0.0,80,False
110,19763,236,7,2025-12-25,2026-04-02,Closed Won,2346.0,2346.0,98,True
111,15057,234,8,2022-03-17,2022-07-30,Qualification,53352.0,0.0,135,False
112,18111,221,8,2023-04-30,2023-07-25,Closed Won,148716.0,148716.0,86,True
113,13841,238,7,2023-03-08,2023-06-16,Closed Lost,5928.0,0.0,100,False
114,11029,275,8,2023-05-29,2023-09-22,Discovery,56304.0,0.0,116,False
115,17386,297,9,2024-01-14,2024-04-25,Closed Lost,379080.0,0.0,102,False
116,10503,279,9,2023-03-21,2023-07-07,Closed Won,182400.0,182400.0,108,True
117,16911,276,7,2022-05-19,2022-08-02,Discovery,12240.0,0.0,75,False
118,19063,288,9,2023-01-29,2023-04-15,Proposal,670680.0,0.0,76,False
119,16939,250,7,2025-01-26,2025-05-01,Qualification,50544.0,0.0,95,False
120,14489,237,8,2025-09-16,2026-01-22,Proposal,19665.0,0.0,128,False
121,10207,275,7,2024-01-16,2024-04-22,Closed Lost,18768.0,0.0,97,False
122,15135,219,7,2023-09-27,2023-12-29,Qualification,22080.0,0.0,93,False
123,15978,201,9,2026-06-22,2026-10-02,Closed Lost,116280.0,0.0,102,False
124,17722,281,7,2025-02-25,2025-06-01,Closed Won,5508.0,5508.0,96,True
125,17036,240,7,2023-08-10,2023-10-18,Discovery,14580.0,0.0,69,False
126,11485,255,7,2024-05-16,2024-08-15,Qualification,5304.0,0.0,91,False
127,17859,280,8,2024-08-15,2024-12-08,Proposal,98532.0,0.0,115,False
128,10864,226,9,2022-01-08,2022-05-12,Discovery,14820.0,0.0,124,False
129,12791,243,9,2023-10-12,2024-01-27,Qualification,388800.0,0.0,107,False
130,17409,259,7,2022-04-06,2022-07-15,Negotiation,9120.0,0.0,100,False
131,18756,251,7,2026-09-12,2026-11-27,Discovery,19320.0,0.0,76,False
132,15117,215,8,2022-12-17,2023-04-28,Negotiation,68400.0,0.0,132,False
133,16020,208,9,2026-03-07,2026-06-11,Discovery,129600.0,0.0,96,False
134,11758,294,9,2025-07-07,2025-10-15,Closed Won,32400.0,32400.0,100,True
135,17575,214,7,2025-07-06,2025-10-10,Negotiation,3240.0,0.0,96,False
136,16375,297,8,2025-12-23,2026-04-14,Proposal,12636.0,0.0,112,False
137,16893,207,8,2023-06-26,2023-10-09,Discovery,41400.0,0.0,105,False
138,11679,218,7,2025-01-03,2025-04-01,Proposal,14580.0,0.0,88,False
139,13243,212,7,2023-11-18,2024-03-11,Closed Lost,27132.0,0.0,114,False
140,14637,202,7,2024-11-23,2025-03-06,Negotiation,8160.0,0.0,103,False
141,11060,250,7,2023-08-02,2023-11-18,Qualification,12636.0,0.0,108,False
142,16669,293,7,2022-09-04,2022-12-16,Discovery,32400.0,0.0,103,False
143,19915,221,8,2025-08-29,2025-12-15,Closed Lost,57834.0,0.0,108,False
144,13158,207,8,2022-08-22,2022-10-25,Discovery,132480.0,0.0,64,False
145,15916,291,7,2024-07-05,2024-10-19,Qualification,41040.0,0.0,106,False
146,19790,212,7,2025-12-19,2026-03-25,Closed Won,11628.0,11628.0,96,True
147,12694,284,9,2022-03-16,2022-07-17,Proposal,55200.0,0.0,123,False
148,13628,257,8,2023-12-16,2024-02-28,Negotiation,39123.0,0.0,74,False
149,19556,278,8,2024-09-10,2025-01-07,Proposal,71136.0,0.0,119,False
150,15451,274,7,2022-10-23,2023-03-12,Qualification,20520.0,0.0,140,False
151,11664,223,8,2025-01-05,2025-04-05,Closed Won,41310.0,41310.0,90,True
152,19722,230,8,2026-01-16,2026-04-05,Closed Lost,97200.0,0.0,79,False
153,15593,258,8,2022-09-05,2022-12-02,Negotiation,87480.0,0.0,88,False
154,17393,295,9,2025-06-22,2025-08-26,Closed Won,16200.0,16200.0,65,True
155,11307,252,8,2022-03-15,2022-05-26,Closed Won,193752.0,193752.0,72,True
156,16777,256,7,2022-12-24,2023-04-11,Closed Won,17340.0,17340.0,108,True
157,15865,210,8,2025-02-13,2025-04-12,Closed Lost,82800.0,0.0,58,False
158,19475,219,8,2022-04-08,2022-07-11,Discovery,8280.0,0.0,94,False
159,17527,219,9,2022-03-09,2022-06-10,Qualification,165600.0,0.0,93,False
160,18902,287,8,2022-03-30,2022-08-01,Discovery,16560.0,0.0,124,False
161,15576,259,9,2024-01-23,2024-05-20,Discovery,79800.0,0.0,118,False
162,15531,244,9,2026-10-29,2027-02-02,Discovery,92820.0,0.0,96,False
163,14414,259,9,2023-02-10,2023-06-14,Closed Lost,228000.0,0.0,124,False
164,13749,296,8,2022-01-23,2022-04-21,Discovery,38880.0,0.0,88,False
165,10664,284,7,2025-12-02,2026-02-18,Discovery,1380.0,0.0,78,False
166,11999,204,7,2024-08-27,2024-12-09,Discovery,1734.0,0.0,104,False
167,17995,297,8,2024-08-20,2024-11-15,Negotiation,25272.0,0.0,87,False
168,11496,265,9,2023-06-07,2023-09-16,Proposal,163200.0,0.0,101,False
169,13305,213,7,2024-04-07,2024-07-22,Closed Lost,16320.0,0.0,106,False
170,13764,267,8,2024-11-23,2025-03-04,Qualification,12393.0,0.0,101,False
171,15233,212,7,2025-07-19,2025-11-11,Proposal,9690.0,0.0,115,False
172,11854,293,8,2022-06-03,2022-08-08,Closed Won,9720.0,9720.0,66,True
173,16586,255,9,2024-01-25,2024-04-11,Negotiation,477360.0,0.0,77,False
174,11292,261,7,2024-07-27,2024-11-08,Closed Won,13110.0,13110.0,104,True
175,13582,295,8,2024-07-03,2024-09-19,Negotiation,43740.0,0.0,78,False
176,17555,241,8,2024-07-12,2024-10-25,Closed Won,20808.0,20808.0,105,True
177,17281,236,7,2025-12-26,2026-04-20,Closed Won,14076.0,14076.0,115,True
178,11637,202,8,2022-12-24,2023-04-26,Discovery,3060.0,0.0,123,False
179,13697,222,7,2024-08-05,2024-11-03,Negotiation,28560.0,0.0,90,False
180,10699,222,8,2026-06-09,2026-08-21,Discovery,12240.0,0.0,73,False
181,14738,241,7,2024-01-21,2024-05-01,Closed Lost,24276.0,0.0,101,False
182,10854,295,9,2022-12-03,2023-03-14,Discovery,145800.0,0.0,101,False
183,18165,214,7,2022-02-19,2022-05-08,Discovery,6480.0,0.0,78,False
184,15856,293,8,2025-08-14,2025-11-07,Qualification,19440.0,0.0,85,False
185,17393,235,9,2022-03-22,2022-06-27,Negotiation,71400.0,0.0,97,False
186,16529,250,9,2023-07-20,2023-11-05,Negotiation,210600.0,0.0,108,False
187,15250,209,7,2022-11-24,2023-04-02,Closed Lost,3174.0,0.0,129,False
188,15173,296,7,2022-03-28,2022-07-01,Negotiation,51840.0,0.0,95,False
189,11708,259,7,2026-12-24,2027-04-23,Discovery,4560.0,0.0,120,False
190,15792,256,9,2026-03-14,2026-06-01,Closed Won,242760.0,242760.0,79,True
191,19926,291,9,2024-02-05,2024-05-18,Discovery,456000.0,0.0,103,False
192,15536,210,7,2025-08-19,2025-12-05,Closed Lost,2760.0,0.0,108,False
193,14932,225,8,2025-07-29,2025-10-28,Negotiation,132192.0,0.0,91,False
194,13511,245,9,2023-05-05,2023-08-20,Closed Won,52020.0,52020.0,107,True
195,10203,297,7,2025-01-11,2025-03-11,Closed Won,8424.0,8424.0,59,True
196,14219,211,8,2023-02-22,2023-04-16,Discovery,56862.0,0.0,53,False
197,18959,209,7,2023-01-17,2023-05-21,Proposal,3174.0,0.0,124,False
198,14390,207,9,2022-01-04,2022-04-06,Qualification,110400.0,0.0,92,False
199,12328,271,9,2024-02-08,2024-04-17,Discovery,571320.0,0.0,69,False
200,18005,234,7,2025-02-05,2025-05-24,Qualification,23712.0,0.0,108,False
201,12932,283,8,2023-08-27,2023-10-29,Proposal,155520.0,0.0,63,False
202,17778,220,9,2023-02-28,2023-05-31,Proposal,104880.0,0.0,92,False
203,10198,289,7,2023-12-15,2024-03-22,Negotiation,4560.0,0.0,98,False
204,17126,205,7,2023-08-27,2023-11-13,Discovery,10200.0,0.0,78,False
205,11931,293,8,2023-07-27,2023-08-30,Negotiation,19440.0,0.0,34,False
206,16288,255,8,2023-02-24,2023-06-15,Proposal,23868.0,0.0,111,False
207,18801,291,9,2025-11-26,2026-03-07,Closed Won,136800.0,136800.0,101,True
208,19340,289,8,2025-10-15,2026-02-16,Qualification,6840.0,0.0,124,False
209,14283,215,8,2025-11-11,2026-03-01,Closed Lost,123120.0,0.0,110,False
210,12512,248,9,2023-11-14,2024-02-04,Qualification,34200.0,0.0,82,False
211,19987,204,7,2022-10-29,2023-02-05,Qualification,13872.0,0.0,99,False
212,10660,278,9,2026-03-10,2026-07-19,Negotiation,29640.0,0.0,131,False
213,12812,281,9,2026-10-10,2027-01-01,Discovery,165240.0,0.0,83,False
214,17099,221,8,2023-06-24,2023-09-06,Negotiation,4131.0,0.0,74,False
215,16547,280,8,2022-11-17,2023-01-29,Closed Lost,14076.0,0.0,73,False
216,19562,290,7,2024-12-11,2025-03-22,Discovery,52440.0,0.0,101,False
217,11987,209,8,2023-08-14,2023-10-30,Qualification,33327.0,0.0,77,False
218,18339,266,7,2022-01-12,2022-04-09,Qualification,63480.0,0.0,87,False
219,12912,279,7,2022-12-18,2023-03-05,Qualification,9120.0,0.0,77,False
220,11735,235,7,2022-01-25,2022-04-16,Discovery,32640.0,0.0,81,False
221,11844,288,9,2025-06-29,2025-09-30,Proposal,37260.0,0.0,93,False
222,18681,251,8,2026-11-10,2027-02-15,Negotiation,24840.0,0.0,97,False
223,12977,278,8,2023-11-07,2024-02-20,Discovery,142272.0,0.0,105,False
224,11960,237,7,2026-02-19,2026-05-20,Closed Lost,13110.0,0.0,90,False
225,15760,206,8,2026-10-31,2027-03-04,Closed Won,122400.0,122400.0,124,True
226,16695,282,7,2023-10-23,2024-02-17,Qualification,29808.0,0.0,117,False
227,12386,286,8,2022-09-12,2022-12-02,Proposal,126684.0,0.0,81,False
228,14737,282,9,2022-08-26,2022-12-01,Discovery,596160.0,0.0,97,False
229,11803,251,8,2023-06-06,2023-08-22,Discovery,82800.0,0.0,77,False
230,18156,266,7,2024-08-31,2024-12-12,Proposal,6348.0,0.0,103,False
231,18121,296,9,2023-03-23,2023-05-10,Proposal,145800.0,0.0,48,False
232,16617,217,8,2026-05-06,2026-08-04,Closed Lost,159120.0,0.0,90,False
233,15535,265,9,2025-07-30,2025-11-09,Closed Won,408000.0,408000.0,102,True
234,14062,209,7,2024-11-07,2025-02-15,Proposal,63480.0,0.0,100,False
235,10263,213,7,2025-12-31,2026-03-25,Closed Lost,20400.0,0.0,84,False
236,16288,300,8,2024-01-24,2024-04-26,Discovery,41310.0,0.0,93,False
237,18816,258,7,2023-05-19,2023-08-10,Discovery,22680.0,0.0,83,False
238,19209,230,8,2022-07-02,2022-09-02,Closed Won,34020.0,34020.0,62,True
239,12050,231,7,2025-06-03,2025-08-10,Closed Lost,25920.0,0.0,68,False
240,15424,223,7,2023-04-04,2023-07-22,Negotiation,22032.0,0.0,109,False
241,14549,263,7,2023-10-07,2024-01-12,Qualification,55200.0,0.0,97,False
242,13109,228,8,2024-03-15,2024-06-01,Closed Won,43740.0,43740.0,78,True
243,17159,259,8,2022-11-04,2023-01-30,Closed Won,27360.0,27360.0,87,True
244,17401,210,8,2022-08-19,2022-11-13,Negotiation,33120.0,0.0,86,False
245,13171,289,8,2022-08-14,2022-12-04,Proposal,136800.0,0.0,112,False
246,19875,300,7,2025-09-01,2025-11-30,Closed Lost,22032.0,0.0,90,False
247,12256,290,9,2022-10-08,2023-01-27,Negotiation,26220.0,0.0,111,False
248,11155,226,8,2026-12-30,2027-04-08,Qualification,8892.0,0.0,99,False
249,14500,277,7,2022-08-13,2022-10-08,Closed Won,3726.0,3726.0,56,True
250,16296,217,7,2024-02-22,2024-05-30,Qualification,21216.0,0.0,98,False
251,16198,240,8,2023-05-28,2023-08-20,Discovery,174960.0,0.0,84,False
252,19889,268,8,2023-11-09,2024-01-19,Discovery,174960.0,0.0,71,False
253,11649,223,7,2026-09-05,2026-11-25,Discovery,9639.0,0.0,81,False
254,15540,235,8,2025-03-04,2025-06-13,Discovery,61200.0,0.0,101,False
255,19638,275,8,2026-03-28,2026-07-05,Qualification,42228.0,0.0,99,False
256,14200,276,9,2024-04-15,2024-08-05,Discovery,20400.0,0.0,112,False
257,18446,209,9,2026-08-17,2026-10-14,Qualification,47610.0,0.0,58,False
258,12557,279,8,2023-01-29,2023-05-25,Qualification,3420.0,0.0,116,False
259,15593,245,9,2025-05-08,2025-07-22,Discovery,173400.0,0.0,75,False
260,10099,237,9,2026-05-05,2026-08-07,Negotiation,131100.0,0.0,94,False
261,12201,269,8,2023-02-13,2023-06-09,Discovery,20808.0,0.0,116,False
262,12962,219,7,2022-12-18,2023-03-04,Negotiation,4140.0,0.0,76,False
263,14974,275,7,2025-08-26,2025-12-12,Closed Won,28152.0,28152.0,108,True
264,14434,273,7,2026-04-28,2026-08-07,Discovery,6840.0,0.0,101,False
265,12870,299,7,2024-05-19,2024-09-03,Closed Won,58320.0,58320.0,107,True
266,10957,227,9,2025-03-24,2025-06-21,Qualification,155040.0,0.0,89,False
267,18353,213,9,2023-10-18,2024-01-24,Qualification,183600.0,0.0,98,False
268,15700,257,8,2022-08-31,2022-10-12,Negotiation,89424.0,0.0,42,False
269,16945,260,8,2022-12-14,2023-03-20,Proposal,66240.0,0.0,96,False
270,14494,212,7,2024-08-14,2024-11-07,Qualification,15504.0,0.0,85,False
271,19493,209,7,2025-09-27,2025-12-27,Qualification,6348.0,0.0,91,False
272,14912,292,8,2026-01-14,2026-04-10,Closed Won,122400.0,122400.0,86,True
273,13988,277,8,2024-06-14,2024-10-04,Negotiation,89424.0,0.0,112,False
274,19720,284,7,2023-02-26,2023-05-25,Proposal,11040.0,0.0,88,False
275,16016,277,9,2025-09-05,2025-12-24,Discovery,149040.0,0.0,110,False
276,11219,227,9,2024-03-21,2024-06-23,Discovery,116280.0,0.0,94,False
277,14497,290,9,2024-02-07,2024-04-06,Discovery,78660.0,0.0,59,False
278,14736,263,9,2022-12-23,2023-04-08,Discovery,193200.0,0.0,106,False
279,14556,293,9,2023-12-23,2024-02-27,Negotiation,194400.0,0.0,66,False
280,19147,229,8,2025-02-21,2025-06-17,Discovery,36720.0,0.0,116,False
281,18051,222,8,2025-11-22,2026-02-27,Closed Won,15300.0,15300.0,97,True
282,13447,273,7,2022-03-05,2022-07-01,Proposal,4560.0,0.0,118,False
283,11046,288,8,2025-05-31,2025-09-06,Closed Won,67068.0,67068.0,98,True
284,16894,219,8,2024-08-16,2024-12-22,Proposal,8280.0,0.0,128,False
285,11694,238,8,2024-09-14,2025-01-17,Proposal,4446.0,0.0,125,False
286,13437,295,8,2026-01-16,2026-04-13,Closed Lost,155520.0,0.0,87,False
287,18755,239,7,2022-02-18,2022-06-11,Discovery,16320.0,0.0,113,False
288,15896,215,8,2026-01-19,2026-05-20,Closed Lost,61560.0,0.0,121,False
289,13355,254,8,2023-03-12,2023-06-22,Closed Won,112608.0,112608.0,102,True
290,10226,232,7,2023-05-20,2023-09-22,Closed Lost,11040.0,0.0,125,False
291,14894,246,8,2025-09-23,2026-01-07,Closed Won,68400.0,68400.0,106,True
292,17023,261,7,2024-07-07,2024-10-27,Negotiation,20976.0,0.0,112,False
293,19152,293,9,2023-09-23,2023-12-08,Qualification,583200.0,0.0,76,False
294,15601,252,9,2025-10-29,2026-03-14,Negotiation,430560.0,0.0,136,False
295,17997,234,8,2025-12-10,2026-03-25,Discovery,17784.0,0.0,105,False
296,19008,273,8,2022-12-22,2023-04-16,Closed Lost,123120.0,0.0,115,False
297,17684,235,8,2024-02-19,2024-05-14,Discovery,48960.0,0.0,85,False
298,14643,270,8,2023-11-29,2024-02-15,Negotiation,29160.0,0.0,78,False
299,17680,237,9,2026-03-03,2026-07-06,Closed Lost,131100.0,0.0,125,False
300,18209,278,9,2022-06-01,2022-09-17,Negotiation,14820.0,0.0,108,False
301,17340,261,8,2026-11-30,2027-04-06,Discovery,15732.0,0.0,127,False
302,19436,249,7,2022-12-08,2023-03-15,Proposal,32400.0,0.0,97,False
303,12206,209,7,2025-07-05,2025-10-06,Discovery,19044.0,0.0,93,False
304,11070,219,9,2022-08-04,2022-10-24,Closed Won,110400.0,110400.0,81,True
305,13445,287,7,2022-09-21,2022-12-29,Proposal,9660.0,0.0,99,False
306,11061,228,8,2022-04-11,2022-07-09,Closed Won,194400.0,194400.0,89,True
307,12328,280,8,2022-05-09,2022-08-12,Proposal,14076.0,0.0,95,False
308,13421,226,8,2024-02-04,2024-05-28,Closed Won,71136.0,71136.0,114,True
309,10302,238,8,2022-10-29,2023-02-05,Qualification,124488.0,0.0,99,False
310,10607,240,8,2022-09-17,2022-12-20,Qualification,19440.0,0.0,94,False
311,13171,225,7,2023-08-07,2023-11-06,Proposal,55080.0,0.0,91,False
312,10700,299,7,2026-10-19,2026-12-31,Closed Lost,12960.0,0.0,73,False
313,15089,269,9,2023-06-28,2023-09-28,Proposal,69360.0,0.0,92,False
314,19332,271,9,2024-02-23,2024-05-27,Negotiation,142830.0,0.0,94,False
315,10191,223,7,2022-01-31,2022-04-19,Proposal,22032.0,0.0,78,False
316,10981,289,7,2022-05-13,2022-08-19,Qualification,1140.0,0.0,98,False
317,12976,265,9,2024-07-27,2024-11-19,Qualification,20400.0,0.0,115,False
318,16103,222,8,2023-10-15,2024-02-05,Negotiation,48960.0,0.0,113,False
319,11185,264,9,2025-03-05,2025-06-22,Discovery,51000.0,0.0,109,False
320,13328,268,9,2024-06-25,2024-08-31,Negotiation,64800.0,0.0,67,False
321,13395,258,7,2023-12-08,2024-03-29,Discovery,12960.0,0.0,112,False
322,18320,228,9,2022-02-02,2022-05-02,Discovery,129600.0,0.0,89,False
323,11817,278,9,2023-10-06,2024-01-22,Discovery,266760.0,0.0,108,False
324,15855,297,7,2023-05-14,2023-08-19,Discovery,21060.0,0.0,97,False
325,16710,268,8,2023-05-09,2023-07-31,Qualification,58320.0,0.0,83,False
326,10570,275,8,2025-03-19,2025-05-09,Proposal,31671.0,0.0,51,False
327,15443,296,8,2022-11-10,2023-02-06,Proposal,9720.0,0.0,88,False
328,11896,204,7,2024-08-13,2024-12-07,Closed Won,1734.0,1734.0,116,True
329,12734,201,9,2022-12-20,2023-04-14,Closed Won,155040.0,155040.0,115,True
330,13864,226,8,2026-11-09,2027-01-30,Qualification,35568.0,0.0,82,False
331,17456,233,9,2025-06-08,2025-09-28,Discovery,46920.0,0.0,112,False
332,14015,281,7,2024-05-24,2024-08-21,Closed Won,33048.0,33048.0,89,True
