lead_id,customer_id,created_date,lead_source,industry,company_size,engagement_score,region,mql_flag,sql_flag,converted,lead_status
47,18216,2025-09-20,Email Campaign,Retail,SMB,88,LATAM,True,True,False,SQL
48,10390,2026-09-07,LinkedIn Ads,Retail,Enterprise,11,LATAM,False,False,False,Open
49,13155,2025-07-30,Organic Search,Healthcare,Enterprise,51,Europe,False,False,False,Open
50,12675,2023-01-31,Email Campaign,Healthcare,SMB,96,LATAM,False,False,False,Open
51,17661,2026-12-01,Organic Search,Retail,Enterprise,15,Europe,True,True,False,SQL
52,12675,2026-09-08,Organic Search,Retail,Enterprise,74,Europe,True,True,False,SQL
53,18352,2025-12-03,Organic Search,Retail,Mid-Market,71,Europe,False,False,False,Open
54,18857,2024-05-13,Google Ads,Retail,Enterprise,95,North America,True,True,True,Converted
55,18256,2024-04-22,LinkedIn Ads,Retail,Mid-Market,32,LATAM,False,False,False,Open
56,10736,2025-02-16,Google Ads,Technology,Enterprise,85,North America,False,False,False,Open
57,18708,2024-07-17,LinkedIn Ads,Technology,Mid-Market,41,LATAM,True,False,False,MQL
58,11431,2023-05-01,Organic Search,Technology,Mid-Market,17,LATAM,True,True,False,SQL
59,18892,2024-03-16,Organic Search,Technology,SMB,66,LATAM,True,True,True,Converted
60,13509,2026-07-25,Referral,Technology,Enterprise,59,APAC,False,False,False,Open
61,10017,2024-06-20,Email Campaign,Retail,Enterprise,71,APAC,False,False,False,Open
62,19814,2024-11-22,Organic Search,Finance,Mid-Market,9,Europe,False,False,False,Open
63,13911,2026-01-12,Google Ads,Technology,SMB,25,North America,True,False,False,MQL
64,18443,2026-02-18,Organic Search,Technology,Enterprise,99,Europe,True,True,False,SQL
65,14712,2023-11-04,Email Campaign,Manufacturing,SMB,2,APAC,False,False,False,Open
66,11486,2022-10-29,Referral,Retail,Mid-Market,24,APAC,True,False,False,MQL
67,16474,2023-08-21,Google Ads,Finance,SMB,2,Europe,False,False,False,Open
68,15436,2022-05-16,LinkedIn Ads,Technology,Enterprise,51,LATAM,False,False,False,Open
69,11902,2024-06-16,Email Campaign,Healthcare,Enterprise,95,LATAM,False,False,False,Open
70,13537,2024-06-02,LinkedIn Ads,Manufacturing,Mid-Market,16,APAC,True,True,False,SQL
71,10296,2025-01-06,LinkedIn Ads,Technology,SMB,62,Europe,False,False,False,Open
72,14401,2022-12-31,Google Ads,Healthcare,Enterprise,58,Europe,True,False,False,MQL
73,10824,2023-03-29,Organic Search,Healthcare,SMB,38,North America,True,False,False,MQL
74,13850,2026-01-25,LinkedIn Ads,Retail,Mid-Market,76,North America,False,False,False,Open
75,17546,2026-10-18,LinkedIn Ads,Finance,Mid-Market,16,APAC,False,False,False,Open
76,19610,2022-05-06,LinkedIn Ads,Manufacturing,SMB,86,North America,True,True,False,SQL
77,14907,2025-11-16,LinkedIn Ads,Healthcare,Mid-Market,18,LATAM,False,False,False,Open
78,14116,2026-08-30,LinkedIn Ads,Technology,Enterprise,58,Europe,True,False,False,MQL
79,18912,2025-02-01,Referral,Technology,Mid-Market,12,APAC,True,True,False,SQL
80,15521,2026-04-10,Email Campaign,Healthcare,Enterprise,80,Europe,False,False,False,Open
81,17160,2022-11-24,Google Ads,Retail,Enterprise,74,North America,False,False,False,Open
82,19767,2026-10-31,Referral,Finance,SMB,66,APAC,False,False,False,Open
83,12098,2023-04-05,LinkedIn Ads,Retail,SMB,31,North America,True,True,False,SQL
84,15212,2025-07-14,Organic Search,Finance,Enterprise,99,LATAM,True,True,False,SQL
85,13913,2025-06-13,LinkedIn Ads,Technology,SMB,45,Europe,True,True,False,SQL
86,14272,2023-10-01,Organic Search,Finance,Mid-Market,64,APAC,False,False,False,Open
87,14513,2024-10-21,Webinar,Finance,Mid-Market,42,LATAM,False,False,False,Open
88,12851,2022-05-27,Organic Search,Technology,SMB,54,APAC,True,True,False,SQL
89,15782,2025-07-21,LinkedIn Ads,Manufacturing,Mid-Market,46,LATAM,True,False,False,MQL
90,17063,2025-07-20,Google Ads,Healthcare,Mid-Market,42,North America,False,False,False,Open
91,17214,2022-07-13,Organic Search,Retail,Enterprise,48,Europe,True,True,False,SQL
92,19305,2024-04-10,LinkedIn Ads,Technology,SMB,38,APAC,True,True,False,SQL
93,14324,2025-12-26,Referral,Technology,SMB,58,North America,False,False,False,Open
94,10887,2026-01-22,LinkedIn Ads,Healthcare,SMB,63,LATAM,True,True,False,SQL
95,16159,2025-07-16,Google Ads,Manufacturing,Mid-Market,43,APAC,False,False,False,Open
96,15064,2025-05-13,Google Ads,Finance,Mid-Market,29,APAC,False,False,False,Open
97,12364,2024-01-02,Organic Search,Retail,SMB,38,Europe,True,True,False,SQL
98,12669,2025-01-08,Google Ads,Healthcare,SMB,1,LATAM,True,True,False,SQL
99,14365,2026-06-14,LinkedIn Ads,Retail,SMB,27,LATAM,False,False,False,Open
100,16449,2025-06-18,Organic Search,Retail,SMB,76,APAC,False,False,False,Open
101,13127,2025-02-22,LinkedIn Ads,Healthcare,SMB,9,APAC,False,False,False,Open
102,19400,2023-08-02,Organic Search,Finance,Mid-Market,27,North America,False,False,False,Open
103,11140,2026-05-05,LinkedIn Ads,Manufacturing,Enterprise,62,Europe,False,False,False,Open
104,16329,2023-06-06,Google Ads,Manufacturing,SMB,63,North America,False,False,False,Open
105,17726,2025-08-28,Organic Search,Retail,Enterprise,17,Europe,True,True,False,SQL
106,18760,2022-09-02,Google Ads,Technology,Enterprise,30,LATAM,False,False,False,Open
107,11645,2024-02-24,LinkedIn Ads,Retail,Enterprise,83,North America,True,True,False,SQL
108,16418,2024-12-04,Organic Search,Retail,Mid-Market,92,LATAM,False,False,False,Open
109,11156,2025-02-20,Google Ads,Finance,Mid-Market,86,Europe,False,False,False,Open
110,19932,2024-12-06,LinkedIn Ads,Manufacturing,Mid-Market,71,LATAM,True,True,False,SQL
111,12209,2025-05-03,LinkedIn Ads,Healthcare,Mid-Market,82,APAC,False,False,False,Open
112,15550,2023-12-11,LinkedIn Ads,Manufacturing,Enterprise,56,LATAM,False,False,False,Open
113,19650,2025-10-20,Google Ads,Finance,Mid-Market,86,LATAM,False,False,False,Open
114,12498,2025-12-28,Organic Search,Technology,Enterprise,32,LATAM,False,False,False,Open
115,14948,2026-06-18,Organic Search,Finance,Mid-Market,44,Europe,True,True,False,SQL
116,19208,2026-03-31,Referral,Finance,SMB,44,LATAM,True,True,False,SQL
117,10536,2023-03-14,Organic Search,Finance,SMB,62,LATAM,False,False,False,Open
118,13633,2025-08-28,Webinar,Retail,Enterprise,41,APAC,False,False,False,Open
119,17317,2026-05-12,LinkedIn Ads,Finance,SMB,24,APAC,False,False,False,Open
120,18379,2022-01-25,Google Ads,Finance,Mid-Market,43,APAC,True,False,False,MQL
121,16709,2022-05-19,Email Campaign,Technology,Mid-Market,67,North America,False,False,False,Open
122,18696,2026-06-14,Google Ads,Healthcare,Mid-Market,37,APAC,True,True,False,SQL
123,12647,2025-11-30,Email Campaign,Manufacturing,SMB,93,North America,True,False,False,MQL
124,10733,2025-08-05,Referral,Finance,Mid-Market,1,North America,True,False,False,MQL
125,12759,2025-08-22,Google Ads,Technology,SMB,98,APAC,False,False,False,Open
126,13461,2022-05-23,Organic Search,Manufacturing,SMB,29,North America,True,False,False,MQL
127,12285,2023-04-28,Google Ads,Retail,Mid-Market,74,Europe,False,False,False,Open
128,12260,2022-12-11,LinkedIn Ads,Technology,Mid-Market,33,North America,True,True,False,SQL
129,12760,2023-03-10,Email Campaign,Finance,SMB,6,North America,False,False,False,Open
130,18792,2023-01-29,LinkedIn Ads,Manufacturing,Mid-Market,74,LATAM,True,True,False,SQL
131,19625,2026-03-11,Organic Search,Retail,Mid-Market,43,APAC,True,True,False,SQL
132,19518,2022-03-21,Referral,Finance,SMB,77,Europe,False,False,False,Open
133,18288,2025-06-20,LinkedIn Ads,Healthcare,SMB,14,North America,False,False,False,Open
134,15052,2024-03-03,LinkedIn Ads,Finance,SMB,41,APAC,False,False,False,Open
135,16768,2025-07-12,LinkedIn Ads,Finance,SMB,81,LATAM,True,True,True,Converted
136,17303,2023-04-15,Organic Search,Finance,SMB,34,APAC,True,True,True,Converted
137,14525,2025-07-17,LinkedIn Ads,Manufacturing,Mid-Market,76,Europe,False,False,False,Open
138,13484,2025-04-18,Organic Search,Manufacturing,SMB,47,Europe,True,True,True,Converted
139,12094,2022-10-19,LinkedIn Ads,Manufacturing,Mid-Market,69,LATAM,False,False,False,Open
140,18893,2026-11-29,Organic Search,Retail,Mid-Market,22,APAC,True,True,False,SQL
141,14976,2025-03-19,LinkedIn Ads,Finance,Mid-Market,24,North America,True,True,False,SQL
142,16864,2026-05-14,Google Ads,Manufacturing,SMB,81,APAC,False,False,False,Open
143,13874,2024-02-28,Google Ads,Retail,SMB,3,LATAM,False,False,False,Open
144,18587,2024-04-18,Organic Search,Technology,SMB,80,North America,False,False,False,Open
145,16657,2024-10-14,Referral,Healthcare,SMB,26,North America,True,True,False,SQL
146,17968,2026-09-16,Organic Search,Healthcare,Mid-Market,64,APAC,True,True,True,Converted
147,16359,2025-06-11,Organic Search,Healthcare,SMB,49,North America,False,False,False,Open
148,19916,2024-07-17,Organic Search,Technology,Mid-Market,93,North America,True,True,False,SQL
149,11604,2024-03-13,Google Ads,Manufacturing,Mid-Market,40,Europe,False,False,False,Open
150,13412,2024-09-12,LinkedIn Ads,Healthcare,SMB,17,LATAM,True,True,False,SQL
151,15942,2026-03-02,LinkedIn Ads,Finance,Mid-Market,73,Europe,False,False,False,Open
152,13269,2024-12-29,Google Ads,Healthcare,SMB,76,APAC,True,True,False,SQL
153,11823,2026-12-12,Webinar,Finance,Enterprise,42,LATAM,False,False,False,Open
154,17556,2023-03-25,LinkedIn Ads,Healthcare,Enterprise,78,North America,False,False,False,Open
155,14743,2022-10-22,Organic Search,Finance,Enterprise,8,Europe,True,True,True,Converted
156,17184,2025-05-28,Google Ads,Healthcare,Enterprise,96,APAC,False,False,False,Open
157,12396,2025-03-14,LinkedIn Ads,Technology,Enterprise,2,North America,True,True,False,SQL
158,12418,2026-09-19,Organic Search,Finance,SMB,76,LATAM,True,True,False,SQL
159,14365,2025-07-21,Organic Search,Technology,Mid-Market,70,North America,True,True,False,SQL
160,18940,2023-12-21,Referral,Finance,Mid-Market,9,LATAM,False,False,False,Open
161,16845,2022-08-29,Organic Search,Retail,SMB,40,APAC,False,False,False,Open
162,15844,2024-02-22,LinkedIn Ads,Manufacturing,SMB,71,APAC,False,False,False,Open
163,10760,2025-12-19,Organic Search,Healthcare,Enterprise,27,Europe,True,True,False,SQL
164,17364,2023-08-08,LinkedIn Ads,Technology,SMB,4,North America,True,True,False,SQL
165,13158,2023-09-01,Organic Search,Manufacturing,Mid-Market,88,Europe,True,True,False,SQL
166,15820,2022-08-13,LinkedIn Ads,Retail,Enterprise,60,North America,False,False,False,Open
167,17806,2023-05-03,Organic Search,Technology,SMB,69,North America,True,False,False,MQL
168,17868,2022-06-27,Organic Search,Technology,Mid-Market,53,APAC,True,False,False,MQL
169,18280,2023-06-04,Organic Search,Finance,Mid-Market,35,North America,True,True,False,SQL
170,13429,2026-09-06,Google Ads,Technology,SMB,69,APAC,False,False,False,Open
171,19864,2026-06-01,Google Ads,Retail,Enterprise,33,North America,False,False,False,Open
172,14527,2024-06-30,Google Ads,Finance,Enterprise,63,North America,True,False,False,MQL
173,17378,2025-01-04,Google Ads,Retail,Mid-Market,52,Europe,True,True,False,SQL
174,15193,2024-09-15,Organic Search,Manufacturing,Mid-Market,48,APAC,False,False,False,Open
175,14929,2024-05-03,Organic Search,Manufacturing,SMB,82,Europe,True,True,True,Converted
176,19845,2023-06-22,Google Ads,Healthcare,Enterprise,52,LATAM,False,False,False,Open
177,16058,2026-02-08,Google Ads,Finance,Enterprise,16,North America,False,False,False,Open
178,12836,2026-04-12,LinkedIn Ads,Finance,SMB,55,North America,False,False,False,Open
179,12547,2022-05-20,Webinar,Technology,Mid-Market,100,APAC,False,False,False,Open
180,17932,2023-10-25,Organic Search,Manufacturing,Mid-Market,96,North America,False,False,False,Open
181,17819,2022-12-01,Organic Search,Manufacturing,SMB,70,Europe,True,True,False,SQL
182,17426,2024-05-27,Email Campaign,Retail,SMB,18,Europe,False,False,False,Open
183,14323,2026-09-28,Google Ads,Retail,Enterprise,32,North America,True,True,False,SQL
184,10778,2025-07-03,Organic Search,Healthcare,Mid-Market,67,LATAM,True,True,True,Converted
185,13414,2024-08-27,Organic Search,Finance,Mid-Market,36,Europe,True,False,False,MQL
186,12411,2024-03-21,Webinar,Technology,Mid-Market,4,LATAM,False,False,False,Open
187,14326,2023-03-09,Email Campaign,Finance,SMB,70,APAC,True,True,False,SQL
188,11159,2024-12-05,Google Ads,Technology,SMB,22,Europe,True,True,True,Converted
189,14389,2026-08-10,Google Ads,Healthcare,Mid-Market,71,North America,False,False,False,Open
190,17949,2023-02-17,Google Ads,Healthcare,SMB,41,LATAM,False,False,False,Open
191,16621,2022-09-20,Organic Search,Healthcare,Mid-Market,40,LATAM,True,False,False,MQL
192,12934,2026-09-05,Organic Search,Healthcare,Enterprise,65,LATAM,False,False,False,Open
193,10906,2025-01-28,LinkedIn Ads,Healthcare,SMB,59,North America,True,False,False,MQL
194,14005,2022-06-30,Organic Search,Retail,Mid-Market,59,North America,True,False,False,MQL
195,10772,2026-07-11,Email Campaign,Retail,Mid-Market,8,Europe,False,False,False,Open
196,14498,2022-10-23,LinkedIn Ads,Technology,Enterprise,91,Europe,True,True,False,SQL
197,19012,2026-09-28,Google Ads,Healthcare,SMB,63,LATAM,False,False,False,Open
198,14183,2022-12-09,Email Campaign,Technology,Mid-Market,75,APAC,False,False,False,Open
199,18044,2023-06-10,Email Campaign,Manufacturing,SMB,99,North America,False,False,False,Open
200,12509,2025-02-02,Referral,Technology,Mid-Market,58,APAC,False,False,False,Open
201,10900,2023-04-14,Organic Search,Healthcare,SMB,85,North America,True,True,True,Converted
202,14326,2026-09-29,Organic Search,Finance,SMB,24,LATAM,False,False,False,Open
203,15065,2026-01-01,Google Ads,Retail,Mid-Market,34,Europe,False,False,False,Open
204,16303,2024-06-21,Referral,Healthcare,Mid-Market,73,North America,True,True,True,Converted
205,19282,2023-05-18,Google Ads,Retail,Enterprise,81,Europe,True,False,False,MQL
206,11970,2024-02-22,Webinar,Retail,Enterprise,63,APAC,False,False,False,Open
207,11360,2022-02-06,Google Ads,Healthcare,Mid-Market,42,APAC,True,False,False,MQL
208,14457,2024-10-22,Organic Search,Finance,Mid-Market,51,Europe,True,True,False,SQL
209,12302,2023-12-29,LinkedIn Ads,Healthcare,Mid-Market,89,LATAM,False,False,False,Open
210,12754,2024-12-23,Google Ads,Finance,SMB,42,LATAM,False,False,False,Open
211,16656,2023-04-27,Google Ads,Retail,SMB,54,LATAM,False,False,False,Open
212,10292,2022-02-05,Organic Search,Technology,SMB,4,APAC,True,True,True,Converted
213,13911,2025-03-27,Organic Search,Finance,Mid-Market,98,North America,True,True,False,SQL
214,11423,2023-11-26,Referral,Healthcare,Mid-Market,26,LATAM,True,True,False,SQL
215,12377,2026-05-19,Email Campaign,Healthcare,Mid-Market,13,Europe,False,False,False,Open
216,19728,2022-12-01,Email Campaign,Healthcare,SMB,70,LATAM,True,True,False,SQL
217,16529,2022-09-27,Google Ads,Healthcare,SMB,75,APAC,False,False,False,Open
218,19944,2023-10-05,Google Ads,Technology,Enterprise,21,LATAM,False,False,False,Open
219,17896,2025-02-15,LinkedIn Ads,Healthcare,Mid-Market,98,APAC,False,False,False,Open
220,17050,2026-12-09,LinkedIn Ads,Healthcare,SMB,82,Europe,False,False,False,Open
221,17207,2026-03-28,Organic Search,Healthcare,Mid-Market,61,APAC,True,True,False,SQL
222,12544,2023-02-02,Organic Search,Technology,Enterprise,82,APAC,True,True,False,SQL
223,16174,2025-12-14,Organic Search,Finance,Mid-Market,2,APAC,False,False,False,Open
224,18360,2024-07-25,Webinar,Retail,SMB,84,APAC,False,False,False,Open
225,18097,2026-06-14,Organic Search,Technology,SMB,74,North America,False,False,False,Open
226,18071,2022-07-13,Google Ads,Healthcare,Mid-Market,77,LATAM,True,True,True,Converted
227,12438,2024-08-16,Google Ads,Retail,SMB,80,LATAM,False,False,False,Open
228,16524,2024-01-02,Organic Search,Healthcare,Enterprise,16,Europe,False,False,False,Open
229,17604,2023-03-29,Organic Search,Healthcare,Enterprise,3,APAC,False,False,False,Open
230,19680,2023-03-23,Google Ads,Manufacturing,SMB,72,Europe,True,True,False,SQL
231,13093,2022-01-24,LinkedIn Ads,Manufacturing,Mid-Market,87,APAC,True,False,False,MQL
232,10879,2022-02-17,Organic Search,Technology,Enterprise,98,North America,True,False,False,MQL
233,18539,2025-02-12,LinkedIn Ads,Technology,Enterprise,67,LATAM,False,False,False,Open
234,14387,2024-01-01,Organic Search,Finance,Enterprise,78,Europe,True,True,True,Converted
235,11660,2022-06-24,Referral,Technology,Enterprise,54,APAC,True,True,False,SQL
236,13472,2022-08-12,Referral,Retail,Mid-Market,20,North America,True,True,True,Converted
237,11567,2026-09-15,Referral,Retail,Mid-Market,56,APAC,True,True,False,SQL
238,13814,2025-11-27,Google Ads,Finance,Enterprise,62,North America,True,True,False,SQL
239,15650,2025-12-15,Organic Search,Manufacturing,SMB,32,LATAM,False,False,False,Open
240,16777,2026-10-16,Email Campaign,Technology,Mid-Market,29,APAC,False,False,False,Open
241,13210,2023-10-31,Organic Search,Manufacturing,Mid-Market,16,North America,False,False,False,Open
242,15651,2024-04-09,LinkedIn Ads,Healthcare,Mid-Market,9,LATAM,False,False,False,Open
243,12858,2025-07-11,Google Ads,Finance,Mid-Market,69,North America,False,False,False,Open
244,12782,2022-07-23,Google Ads,Retail,Enterprise,74,LATAM,False,False,False,Open
245,11321,2026-04-29,LinkedIn Ads,Retail,SMB,87,North America,False,False,False,Open
246,15822,2023-03-21,Organic Search,Healthcare,SMB,71,LATAM,True,True,True,Converted
247,14460,2026-08-20,Referral,Manufacturing,Enterprise,25,North America,True,True,True,Converted
248,12258,2022-07-20,LinkedIn Ads,Manufacturing,Mid-Market,43,APAC,False,False,False,Open
249,16604,2026-09-12,Email Campaign,Manufacturing,SMB,91,North America,False,False,False,Open
250,18971,2024-06-27,LinkedIn Ads,Manufacturing,Mid-Market,43,LATAM,False,False,False,Open
251,12690,2026-07-09,Referral,Retail,SMB,48,LATAM,True,True,True,Converted
252,14188,2025-03-25,Referral,Manufacturing,Enterprise,51,APAC,True,True,False,SQL
253,15586,2025-04-10,Google Ads,Healthcare,SMB,24,North America,True,False,False,MQL
254,16989,2026-03-23,Organic Search,Healthcare,Enterprise,74,Europe,True,True,False,SQL
255,17020,2026-08-12,Organic Search,Manufacturing,Enterprise,23,North America,False,False,False,Open
256,15144,2024-03-02,Organic Search,Retail,SMB,45,North America,False,False,False,Open
257,17757,2023-08-14,Email Campaign,Retail,Mid-Market,61,LATAM,False,False,False,Open
258,12261,2026-04-14,Google Ads,Retail,SMB,63,Europe,True,True,False,SQL
259,16247,2024-07-13,Organic Search,Technology,SMB,65,North America,False,False,False,Open
260,12562,2025-10-06,LinkedIn Ads,Finance,Mid-Market,72,North America,True,True,False,SQL
261,17306,2026-08-28,Google Ads,Finance,Mid-Market,29,Europe,True,True,False,SQL
262,16866,2025-03-07,Referral,Technology,SMB,68,Europe,False,False,False,Open
263,12739,2026-12-05,Organic Search,Manufacturing,SMB,65,LATAM,False,False,False,Open
264,14848,2026-03-25,LinkedIn Ads,Technology,SMB,55,LATAM,False,False,False,Open
265,15449,2024-12-19,Google Ads,Retail,Mid-Market,13,North America,True,True,False,SQL
266,14684,2022-03-04,Referral,Retail,Enterprise,73,Europe,True,True,False,SQL
267,13064,2024-02-15,Referral,Technology,Mid-Market,64,Europe,True,True,True,Converted
268,12165,2024-03-02,Google Ads,Finance,Enterprise,96,North America,True,True,False,SQL
269,18557,2024-02-08,Organic Search,Technology,Mid-Market,40,Europe,False,False,False,Open
270,10707,2024-11-03,Email Campaign,Manufacturing,Mid-Market,81,LATAM,True,False,False,MQL
271,10094,2023-08-21,Google Ads,Manufacturing,Mid-Market,25,APAC,True,True,False,SQL
272,16415,2025-06-22,Google Ads,Healthcare,Mid-Market,80,Europe,False,False,False,Open
273,19362,2022-03-11,Google Ads,Technology,Mid-Market,50,APAC,True,True,False,SQL
274,18675,2026-04-10,LinkedIn Ads,Technology,Enterprise,71,Europe,True,False,False,MQL
275,17484,2026-10-28,Referral,Manufacturing,Enterprise,80,Europe,False,False,False,Open
276,19226,2026-01-15,Organic Search,Retail,Mid-Market,61,Europe,True,True,False,SQL
277,10043,2024-09-04,Google Ads,Finance,Enterprise,68,LATAM,False,False,False,Open
278,12664,2023-09-15,LinkedIn Ads,Retail,Mid-Market,43,North America,False,False,False,Open
279,15930,2026-05-15,Organic Search,Healthcare,Enterprise,48,LATAM,True,True,False,SQL
280,11909,2024-10-09,Organic Search,Manufacturing,Enterprise,51,North America,True,True,False,SQL
281,11593,2022-03-22,Organic Search,Retail,SMB,70,Europe,True,True,False,SQL
282,18417,2026-12-26,Email Campaign,Retail,Enterprise,95,LATAM,False,False,False,Open
283,10141,2022-08-21,Organic Search,Manufacturing,SMB,73,Europe,True,True,False,SQL
284,19703,2023-02-14,Referral,Manufacturing,SMB,52,North America,True,True,False,SQL
285,10366,2022-09-19,Google Ads,Technology,SMB,91,LATAM,False,False,False,Open
286,17207,2023-10-30,Google Ads,Healthcare,Mid-Market,21,North America,True,True,False,SQL
287,14533,2026-07-13,Organic Search,Retail,Mid-Market,30,APAC,True,True,True,Converted
288,18049,2025-01-27,Google Ads,Manufacturing,Enterprise,21,Europe,False,False,False,Open
289,11103,2025-05-21,LinkedIn Ads,Healthcare,Enterprise,33,Europe,True,False,False,MQL
290,16075,2024-10-04,Google Ads,Healthcare,Mid-Market,71,Europe,False,False,False,Open
291,14901,2023-03-27,Organic Search,Healthcare,Enterprise,41,APAC,False,False,False,Open
292,10267,2024-07-18,Webinar,Retail,SMB,91,North America,False,False,False,Open
293,10204,2025-12-10,Webinar,Healthcare,Mid-Market,57,North America,False,False,False,Open
294,18592,2023-10-12,Organic Search,Healthcare,Mid-Market,77,APAC,True,True,False,SQL
295,19089,2023-11-18,Google Ads,Finance,Mid-Market,32,North America,False,False,False,Open
296,17377,2023-03-25,Google Ads,Retail,SMB,71,LATAM,False,False,False,Open
297,18378,2023-06-08,LinkedIn Ads,Retail,SMB,27,North America,False,False,False,Open
298,18880,2024-05-23,Google Ads,Manufacturing,Enterprise,65,LATAM,False,False,False,Open
299,11846,2026-04-11,Referral,Healthcare,Mid-Market,86,APAC,True,False,False,MQL
300,11683,2025-06-21,LinkedIn Ads,Retail,Mid-Market,96,Europe,False,False,False,Open
301,13392,2026-09-03,LinkedIn Ads,Finance,Mid-Market,91,North America,False,False,False,Open
302,10578,2025-02-27,Organic Search,Finance,Mid-Market,21,APAC,False,False,False,Open
303,15031,2026-12-04,Google Ads,Technology,SMB,20,Europe,False,False,False,Open
304,16849,2023-08-31,Referral,Retail,Enterprise,72,North America,True,True,False,SQL
305,11962,2025-07-25,Google Ads,Retail,Mid-Market,62,LATAM,True,True,False,SQL
306,13543,2024-10-29,Referral,Healthcare,Mid-Market,75,LATAM,True,True,False,SQL
307,19300,2025-01-18,LinkedIn Ads,Manufacturing,SMB,87,APAC,False,False,False,Open
308,18972,2022-11-22,Organic Search,Finance,Enterprise,16,LATAM,False,False,False,Open
309,18543,2026-11-03,Organic Search,Technology,Enterprise,35,Europe,False,False,False,Open
310,12089,2025-07-28,Webinar,Healthcare,Mid-Market,33,North America,False,False,False,Open
